design,method,group,k,rep,moved,drc_base,drc_A,drc_B,red_A,red_B,wl_A,wl_B
jpeg_like,Shadow price,economic,2,0,"M0,M8",356.7172659512888,193.074089728625,249.5420931336113,45.87475624042542,30.044851496566675,-4.423268382875835,-4.835727492533068
jpeg_like,Grad-CAM,saliency,1,0,M7,356.7172659512888,333.52815200135774,333.52815200135774,6.500698498036159,6.500698498036159,-3.648129711278623,-3.648129711278623
jpeg_like,Grad-CAM,saliency,2,0,"M7,M2",356.7172659512888,348.0894102337301,319.4670251228447,2.4186818360333784,10.442511306287821,-3.2552268525103116,-1.5253875693357986
jpeg_like,Integrated grads,saliency,1,0,M2,356.7172659512888,327.0515378209974,375.46806093772153,8.31631405650614,-5.256486516409106,-3.779689944531361,0.7075807139809416
jpeg_like,Integrated grads,saliency,2,0,"M2,M0",356.7172659512888,235.92544117181654,237.14457900763935,33.86206284614406,33.52029698500145,-5.575309344332243,-2.96721661214621
jpeg_like,Input x gradient,saliency,1,0,M9,356.7172659512888,258.0147054416018,258.0147054416018,27.669689676071147,27.669689676071147,-4.378822358128289,-4.378822358128289
jpeg_like,Input x gradient,saliency,2,0,"M9,M0",356.7172659512888,234.5026921601248,199.9625890316761,34.26090785520119,43.94367525260698,-2.6969847816811265,-5.808206514009387
jpeg_like,Proximity heuristic,heuristic,1,0,M1,356.7172659512888,266.8521105481643,266.8521105481643,25.192264008716627,25.192264008716627,-3.4383444744702034,-3.4383444744702034
jpeg_like,Proximity heuristic,heuristic,2,0,"M1,M0",356.7172659512888,192.8279056094696,196.9455098017046,45.94377003444487,44.78946532725492,-6.1282178921917225,-4.1210354145925185
jpeg_like,Random,control,1,0,M3,356.7172659512888,266.57496888509786,337.2597898414847,25.26995625675721,5.454593305966056,0.908476745839852,0.9440335656378893
jpeg_like,Random,control,2,0,"M3,M0",356.7172659512888,222.8051688102634,276.1779848226331,37.54012208630003,22.577903795566115,-1.7547290570331389,-2.5138671597212343
jpeg_like,Random,control,1,1,M0,356.7172659512888,278.5761032123824,283.0329764563583,21.905629527216913,20.656216148783894,-3.5307922059451005,-1.6409472336794197
jpeg_like,Random,control,2,1,"M0,M10",356.7172659512888,283.09322087813706,238.92090674588516,20.639327585339093,33.02233181544098,-2.677428530792206,-4.154814393400654
jpeg_like,Random,control,1,2,M2,356.7172659512888,327.0515378209974,491.3025822169955,8.31631405650614,-37.72884833785558,-3.779689944531361,3.1663348030152183
jpeg_like,Random,control,2,2,"M2,M8",356.7172659512888,318.90399848092534,370.14325237461924,10.600346851595077,-3.7637613047762555,-1.0684824349310198,-0.46935002133409187
jpeg_like,Random,control,1,3,M1,356.7172659512888,266.8521105481643,333.13401793387686,25.192264008716627,6.611187701980298,-3.4383444744702034,-4.410823495946523
jpeg_like,Random,control,2,3,"M1,M8",356.7172659512888,236.8212557754503,248.57785059522274,33.61093549988432,30.315161523701786,-3.537903569904708,-5.230408192291281
jpeg_like,Random,control,1,4,M0,356.7172659512888,278.5761032123824,283.0329764563583,21.905629527216913,20.656216148783894,-3.5307922059451005,-1.6409472336794197
jpeg_like,Random,control,2,4,"M0,M8",356.7172659512888,193.074089728625,277.9397401821074,45.87475624042542,22.08402376013355,-4.423268382875835,-2.2809699900440905
jpeg_like,Oracle upper bound,bound,1,0,M9,356.7172659512888,258.0147054416018,258.0147054416018,27.669689676071147,27.669689676071147,-4.378822358128289,-4.378822358128289
jpeg_like,Oracle upper bound,bound,2,0,"M9,M1",356.7172659512888,224.99474156619954,224.99474156619954,36.926310262502554,36.926310262502554,-6.84113212914237,-6.84113212914237
