design,kind,drc,n_hotspot,wl,changed,offmask
aes_like,mixed,166.09891392907736,57,34584.0,"0,3,4,1,5,2",100110
aes_like,coalition_jitter,382.59624333536254,117,37972.0,"3,1",000000
aes_like,coalition_jitter,285.76946894836976,102,37019.0,"5,0,4",000000
aes_like,coalition_jitter,364.2612985241004,116,36740.0,"5,1",000000
aes_like,coalition_jitter,377.7873129511258,117,37038.0,1,000000
aes_like,swap,327.6447733595655,105,38072.0,"4,2",000000
aes_like,swap,263.5999702938588,96,36610.0,"2,0",000000
aes_like,mixed,248.71566688018547,96,38527.0,"5,2,1,3,4",001001
aes_like,swap,360.1043231502672,121,37914.0,"1,5",000000
aes_like,mixed,248.76310392939897,92,37082.0,"2,0,4,1",101000
aes_like,swap,327.6447733595655,105,38072.0,"4,2",000000
aes_like,coalition_off,253.88318729539594,89,35092.0,"2,4",001010
aes_like,coalition_jitter,420.1507186657511,144,37965.0,4,000000
aes_like,mixed,337.5569592961062,112,36154.0,4,000010
aes_like,coalition_off,336.4015133441122,108,36684.0,2,001000
aes_like,coalition_off,267.10602229964246,92,36263.0,"2,3,1,4,0,5",111111
aes_like,coalition_off,276.8382059022597,100,37235.0,"2,3",001100
aes_like,swap,404.23197568342897,133,36866.0,"1,2",000000
aes_like,coalition_off,200.14207104803944,68,35596.0,"3,4,5,0,1",110111
aes_like,coalition_off,242.68397683637855,86,35986.0,"5,0,2",101001
aes_like,mixed,366.17619117563476,127,39262.0,"5,1,0,3,4",010001
aes_like,coalition_off,198.3607885853942,81,34790.0,"2,1,0,4",111010
aes_like,coalition_off,204.7078694784134,72,35117.0,"4,1",010010
aes_like,coalition_off,198.21001711742235,69,36276.0,"4,3,2",001110
aes_like,mixed,209.1993243056619,74,36398.0,"3,5,2,0,1,4",001101
aes_like,coalition_off,419.2863339095403,121,31635.0,"0,5,3",100101
aes_like,coalition_off,419.2863339095403,121,31635.0,"3,0,5",100101
aes_like,swap,355.0760138027612,123,38129.0,"3,0",000000
aes_like,coalition_jitter,456.91421125067393,146,38132.0,"3,5",000000
aes_like,swap,327.6447733595655,105,38072.0,"4,2",000000
aes_like,coalition_jitter,480.61776617330133,140,38931.0,"3,0",000000
aes_like,mixed,114.66080425026547,41,33694.0,"5,4,1,3",000011
aes_like,coalition_jitter,450.4183354531528,128,38046.0,0,000000
aes_like,coalition_off,165.26980222894161,57,34752.0,"4,1,0",110010
aes_like,coalition_off,158.7976024173071,59,36389.0,"1,0,5,4",110011
aes_like,coalition_jitter,408.03586195501964,129,37570.0,3,000000
aes_like,swap,292.73931451276246,106,36603.0,"1,3",000000
aes_like,coalition_jitter,421.1479451001417,138,37218.0,"2,1,4",000000
aes_like,coalition_jitter,463.7249471572519,142,38226.0,1,000000
aes_like,coalition_off,204.7078694784134,72,35117.0,"4,1",010010
aes_like,coalition_jitter,353.41409721977016,136,37165.0,"4,3",000000
aes_like,coalition_jitter,529.8587045864423,138,39109.0,4,000000
aes_like,coalition_jitter,417.9409049738784,127,37110.0,1,000000
aes_like,coalition_off,284.59001135153335,109,35333.0,"3,5",000101
aes_like,coalition_jitter,383.22457398701044,121,38850.0,"0,5,3",000000
aes_like,coalition_jitter,401.98513989432104,134,37629.0,0,000000
aes_like,mixed,255.99768567113637,88,37694.0,"1,2,4",010000
aes_like,coalition_off,242.3616944065054,84,37294.0,"1,0,5",110001
aes_like,coalition_off,267.10602229964246,92,36263.0,"1,3,5,0,2,4",111111
aes_like,swap,263.5999702938588,96,36610.0,"0,2",000000
aes_like,swap,288.23144867107027,112,37310.0,"5,2",000000
aes_like,coalition_off,200.14207104803944,68,35596.0,"0,5,3,1,4",110111
jpeg_like,base,257.6024584934662,83,54644.0,,00000000000
jpeg_like,all_off,279.1575653130671,99,57019.0,"0,1,2,3,4,5,6,7,8,9,10",11111111111
jpeg_like,single_off,196.09037709587062,75,52694.0,0,10000000000
jpeg_like,single_off,252.39125546867066,94,54259.0,1,01000000000
jpeg_like,single_off,250.19940315927232,89,54048.0,2,00100000000
jpeg_like,single_off,358.49104144084856,126,58599.0,3,00010000000
jpeg_like,single_off,274.4792550323025,101,55862.0,4,00001000000
jpeg_like,single_off,263.8126927217412,84,53295.0,5,00000100000
jpeg_like,single_off,274.0708322528947,107,56185.0,6,00000010000
jpeg_like,single_off,242.66198909861777,81,53048.0,7,00000001000
jpeg_like,single_off,294.9464476860183,102,56144.0,8,00000000100
jpeg_like,single_off,280.3723782211865,92,54540.0,9,00000000010
jpeg_like,single_off,273.448703395577,109,55762.0,10,00000000001
jpeg_like,eco_move,247.30936014280445,90,55079.0,0,00000000000
jpeg_like,eco_move,209.76100974029703,83,53687.0,0,00000000000
jpeg_like,eco_move,266.7578966870317,83,54903.0,0,00000000000
jpeg_like,eco_move,296.61903944018064,96,54762.0,0,00000000000
jpeg_like,eco_move,339.7457360233691,100,56094.0,1,00000000000
jpeg_like,eco_move,287.66758458815025,95,54832.0,1,00000000000
jpeg_like,eco_move,350.1193108294791,104,56128.0,1,00000000000
jpeg_like,eco_move,280.4461169870251,84,55117.0,1,00000000000
jpeg_like,eco_move,309.838360073832,101,55587.0,2,00000000000
jpeg_like,eco_move,284.9608166322513,92,55083.0,2,00000000000
jpeg_like,eco_move,316.1525142380731,104,55879.0,2,00000000000
jpeg_like,eco_move,333.21084756626817,114,57563.0,2,00000000000
jpeg_like,eco_move,239.2289338214293,77,54348.0,3,00000000000
jpeg_like,eco_move,292.24253238589745,100,54947.0,3,00000000000
jpeg_like,eco_move,326.53140115106333,106,55839.0,3,00000000000
jpeg_like,eco_move,292.41853033797554,90,54917.0,3,00000000000
jpeg_like,eco_move,277.7023170943271,91,54825.0,4,00000000000
jpeg_like,eco_move,270.3145274941842,91,55130.0,4,00000000000
jpeg_like,eco_move,238.68618754371482,77,54957.0,4,00000000000
jpeg_like,eco_move,269.0892200780063,79,54628.0,4,00000000000
